GS F212,ENVIRON DEV & CLIMATE CH,
GS F221,BUSINESS COMMUNICATION,
GS F231,DYN OF SOCIAL CHANGE,
GS F233,PUBLIC POLICY,
GS F234,DEVELOPMENT ECONOMICS,
GS F242,CULTURAL STUDIES,
GS F322,CRITI ANAL OF LIT & CINE,
GS F326,CREATIVE THINKING,
HSS F227,CROSS CULTURAL SKILLS,
HSS F232,INTRO TO DEV STUDIES,
HSS F233,MAIN TRENDS IN INDIAN HISTORY,
HSS F235,INTRODUCTORY PHILOSOPHY,
HSS F236,SYMBOLIC LOGIC,
HSS F313,INTRO TO CONTEMPRORY ARTS,
HSS F314,MARITIME STUDIES & BLUE ECON,
HSS F317,INTRODUCTION TO GLOBALIZATION,
HSS F332,CINEMATIC ART,
HSS F337,ENGLISH LITERARY FORMS AND MOVEMENTS,
HSS F338,COMPARATIVE INDIAN LITERATURE,
HSS F340,POST COLONIAL LITERATURES,
HSS F347,INTRO TOCARNATIC MUSIC,
HSS F349,ECOCRITICISM,
HSS F363,DISASTER AND DEVELOPMENT,
HSS F365,SCIENCE OF SUSTAINABLE HAPPINESS,
HSS F371,CITIES-LIFE ISSUES & CONFLICTS,
HSS F372,INTRODUCTION TO  SOCIAL PSYCHO,
HSS F374,URBAN MODRN & RENEWAL OF PARIS,
HSS F375,BUS & POL IN COL & POS COL IND,
HSS F379,INTRODUCTION TO PHILOSOPHY OF SCIENCE,
IS F341,SOFTWARE ENGINEERING,
INSTR F366,LABORATORY PROJECT,
INSTR F376,DESIGN PROJECT,
INSTR F491,SPECIAL PROJECT,
MATH F111,MATHEMATICS-I,
MATH F113,PROBABILITY & STATISTICS,
MATH F211,MATHEMATICS III,
MATH F212,OPTIMIZATION,
MATH F213,DISCRETE MATHEMATICS,
MATH F214,ELEMENTARY REAL ANALYSIS,
MATH F215,ALGEBRA I,
MATH F231,NUMBER THEORY,
MATH F266,STUDY PROJECT,
MATH F311,INTRODUCTION TO TOPOLOGY,
MATH F312,ORDINARY DIFF EQUATIONS,
MATH F313,NUMERICAL ANALYSIS,
MATH F353,STATISTICAL INFER & APP,
MATH F366,LABORATORY PROJECT,
MATH F376,DESIGN PROJECT,
MATH F421,COMBINATORIAL MATHS,
MATH F432,APPLIED STATISTICAL METHODS,
MATH F491,SPECIAL PROJECT,
MGTS F211,PRINCIPLES OF MANAGEMENT,
PHY F110,PHYSICS LABORATORY,
PHY F111,MECH OSCIL & WAVES,
PHY F211,CLASSICAL MECHANICS,
PHY F212,ELECTROMAGNETIC THEO I,
PHY F213,OPTICS,
PHY F214,ELEC MAGNET & OPTICS LAB,
PHY F215,INTRO TO ASTRO & ASTROPH,
PHY F266,STUDY PROJECT,
PHY F311,QUANTUM MECHANICS II,
PHY F312,STATISTICAL MECHANICS,
PHY F313,COMPUTATIONAL PHYSICS,
PHY F315,THEORY OF RELATIVITY,
PHY F346,LASER SCIENCE AND TECHNOLOGY,
PHY F366,LABORATORY PROJECT,
PHY F376,DESIGN PROJECT,
PHY F412,INTRODUCTION TO QUANTUM FIELD THEORY,
PHY F419,ADVANCED SOLID STATE PHYSICS,
PHY F420,QUANTUM OPTICS,
PHY F426,PHY OF SEMICONDUCTOR DEV,
PHY F433,TOPICS IN NONLINEAR OPTICS,
PHY F491,SPECIAL PROJECT,
